# File Format is TSV(Tab Separated Value)
# If you want to add more languages, add elements separated by tabs.
# ID	Name(en)	Name(jp)	Name(cn)
1	Lord	待定	领主
2	High Lord	待定	君主
3	Fighter	待定	战士
4	Vanguard	待定	前锋
5	Soldier	待定	士兵
6	Sergeant	待定	兵士
7	Housecarl	待定	侍卫
8	Viking	待定	维京
9	Sword Fighter	待定	剑士
10	Swordmaster	待定	剑豪
11	Sellsword	待定	佣兵
12	Landsknecht	待定	国王佣仆
13	Hoplite	待定	重装步兵
14	Legionnaire	待定	军团士兵
15	Gladiator	待定	角斗士
16	Berserker	待定	狂战士
17	Warrior	待定	勇士
18	Breaker	待定	破坏者
19	Hunter	待定	猎人
20	Sniper	待定	狙击手
21	Arbalist	待定	弩手
22	Shield Shooter	待定	盾射手
23	Thief	待定	盗贼
24	Rogue	待定	流氓
25	Knight	待定	骑士
26	Great Knight	待定	重骑士
27	Radiant Knight	待定	白骑士
28	Sainted Knight	待定	圣骑士
29	Dark Knight	待定	黑暗骑士
30	Doom Knight	待定	厄运骑士
31	Cleric	待定	牧师
32	Bishop	待定	主教
33	Wizard	待定	巫师
34	Warlock	待定	术士
35	Witch	待定	女巫
36	Sorceress	待定	魔女
37	Shaman	待定	萨满
38	Druid	待定	德鲁伊
39	Wyvern Knight	待定	飞龙骑士
40	Wyvern Master	待定	飞龙大师
41	Gryphon Knight	待定	狮鹫骑士
42	Gryphon Master	待定	狮鹫大师
43	Elven Fencer	待定	精灵剑士
44	Elven Archer	待定	精灵弓手
45	Werewolf	待定	狼人
46	Werefox	待定	狐妖
47	Werebear	待定	熊人
48	Wereowl	待定	枭人
49	Feathersword	待定	羽剑士
50	Featherbow	待定	羽弓手
51	Featherstaff	待定	羽杖师
52	Feathershield	待定	羽盾卫士
53	Priestess	待定	女祭司
54	High Priestess	待定	高级女祭
55	Crusader	待定	圣战士
56	Valkyria	待定	女武神
57	Elven Sibyl	待定	精灵女祭
58	Elven Augur	待定	精灵占卜
59	Snow Ranger	待定	雪地游侠
60	Werelion	待定	狮族战士
61	Paladin	待定	圣骑士
62	Prince	待定	王子
63	Dreadnought	待定	战舰
64	Possessed Dreadnought	待定	附魔战舰
65	Necromancer	待定	死灵法师
66	Necromancer	待定	死灵法师
67	Dark Lord	待定	黑暗领主
68	Overlord	待定	霸主
69	Dark Marquess	待定	黑暗侯爵
70	Dark Marquess	待定	黑暗侯爵
71	Dark Marquess	待定	黑暗侯爵
72	Dark Marquess	待定	黑暗侯爵
73	Dark Marquess	待定	黑暗侯爵
