# File Format is TSV(Tab Separated Value)
# If you want to add more languages, add elements separated by tabs.
# ID	Name(en)	            Name(jp)	Name(cn)
3	    Medals	勲章	勋章
4	    Coliseum Coin	コロシアムコイン	斗技硬币
5	    Divine Shard	天のかけら	天之碎片
6	    Hallowed Corne Ash	コルヌの聖灰	克尔努的圣灰
7	    Luminous Corne Ash	コルヌの光灰	克尔努的光灰
8	    Healing Tonic (S)	ヒールポーションS	疗愈药剂S
9	    Healing Tonic (M)	ヒールポーションM	疗愈药剂M
10	    Healing Tonic (L)	ヒールポーションL	疗愈药剂L
11	    Healing Font (S)	ヒールボトルS	疗愈药瓶S
12	    Healing Font (M)	ヒールボトルM	疗愈药瓶M
13	    Healing Font (L)	ヒールボトルL	疗愈药瓶L
14	    Revival Orb (S)	リザレクトオーブS	复生宝珠S
15	    Revival Orb (M)	リザレクトオーブM	复生宝珠M
16	    Revival Orb (L)	リザレクトオーブL	复生宝珠L
17	    Elixir	エリクシール	甘霖
18	    Smoked Nuts	スモークナッツ	烟熏坚果
19	    Hot Cross Buns	ホットクロスパン	暖暖十字包
20	    Grilled Steak	グリルステーキ	烤牛排
21	    Silver Hourglass	銀の砂時計	银之沙漏
22	    Gold Hourglass	金の砂時計	金之沙漏
23	    Stardust Hourglass	星屑の砂時計	群星沙漏
24	    Camping Set (S)	キャンプセットS	宿营套装S
25	    Camping Set (M)	キャンプセットM	宿营套装M
26	    Camping Set (L)	キャンプセットL	宿营套装L
27	    Empowering Draught	パワーリキュール	力量利口酒
28	    Defensive Draught	ガードリキュール	抵御利口酒
29	    Liquid Fortune	リキッドラック	瓶装好运
30	    Light Feather	軽身の羽	身轻之羽
31	    Light Tailfeather	軽身の尾羽	身轻之尾羽
32	    Beckoning Bell	引き寄せの鈴	诱敌铃铛
33	    Beckoning Chime	引き寄せの大鈴	诱敌响铃
34	    Wind Faerie's Charm	風精の守り石	风灵的守护石
35	    Holy Herb	ホーリーハーブ	神圣香草
36	    Concealing CLoak	ハイドクローク	隐遁斗篷
37	    GIant's Canopy	巨人の天蓋	巨人华盖
38	    Farsight Crystal	遠見の水晶	远见水晶
39	    Conveyance Stone	テレポートストーン	传送石
40	    Conveyance Crystal	テレポートクリスタル	传送水晶
41	    Dream Blossom	まどろみの花	假寐花
42	    Barricade Kit	バリケードキット	路障箱
43	    Mantlet Kit	防盾キット	防盾箱
